"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0W140","2019-09-10 00:00:00","21.000","0.000","0.200","26.900","0.900","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.400",""
"C0G660","2019-09-10 00:00:00","27.000","0.000","0.200","27.000","0.950","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.800",""
"C0E750","2019-09-10 00:00:00","62.000","201.000","0.900","28.100","0.770","1000.300","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.700",""
"C0U520","2019-09-10 00:00:00","517.000","234.000","1.000","21.700","0.990","954.700","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","18.300",""
"C0T9G0","2019-09-10 00:00:00","605.000","0.000","0.000","22.400","0.990","945.200","-99.000","0.000","-99.000","-99.000","-99.000","29.200","","20.800",""
"C0S700","2019-09-10 00:00:00","507.000","0.000","0.200","22.600","0.990","954.700","-99.000","0.000","-99.000","-99.000","-99.000","27.800","","21.200",""
"C0Z310","2019-09-10 00:00:00","59.000","352.000","0.800","25.200","0.990","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","22.400",""
"C0V610","2019-09-10 00:00:00","22.000","71.000","0.900","28.000","0.860","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","26.000",""
"C0E610","2019-09-10 00:00:00","850.000","0.000","0.000","22.800","0.690","916.900","-99.000","0.000","-99.000","-99.000","-99.000","27.800","","21.200",""
"C0R280","2019-09-10 00:00:00","242.000","58.000","1.400","23.400","-99.000","980.700","-99.000","11.000","-99.000","-99.000","-99.000","26.800","","23.300",""
"C0V450","2019-09-10 00:00:00","51.000","16.000","0.900","26.000","0.990","1002.000","-99.000","0.500","-99.000","-99.000","-99.000","32.100","","24.400",""
"C0M720","2019-09-10 00:00:00","225.000","92.000","0.400","26.500","0.860","983.300","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.200",""
"C0AD10","2019-09-10 00:00:00","27.000","344.000","1.400","29.300","0.550","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","25.100",""
"C0Z180","2019-09-10 00:00:00","34.000","247.000","0.600","26.200","0.830","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","23.500",""
"C0K420","2019-09-10 00:00:00","42.000","255.000","1.200","28.200","0.810","1003.300","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.300",""
"C0D540","2019-09-10 00:00:00","227.000","216.000","0.600","24.900","0.820","983.500","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","20.900",""
"C0E590","2019-09-10 00:00:00","40.000","130.000","0.500","26.000","1.000","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","23.700",""
"C0Z330","2019-09-10 00:00:00","488.000","0.000","0.000","22.500","0.920","957.300","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","21.300",""
"C0R580","2019-09-10 00:00:00","10.000","67.000","1.100","27.000","1.000","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","24.600",""
"C0S810","2019-09-10 00:00:00","65.000","327.000","3.400","25.600","0.910","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","23.800",""
"C0V820","2019-09-10 00:00:00","441.000","247.000","0.500","23.500","0.990","962.100","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","21.500",""
"C0K490","2019-09-10 00:00:00","91.000","186.000","1.300","27.000","0.860","997.800","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","25.100",""
"C0SA20","2019-09-10 00:00:00","857.000","351.000","1.400","21.000","1.000","916.200","-99.000","0.000","-99.000","-99.000","-99.000","24.100","","19.900",""
"CM0140","2019-09-10 00:00:00","26.000","340.000","0.500","27.100","0.700","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","25.500",""
"C0AC80","2019-09-10 00:00:00","40.000","152.000","0.800","26.400","0.780","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","21.800",""
"C0M810","2019-09-10 00:00:00","1354.000","0.000","0.200","19.100","0.970","864.400","-99.000","0.000","-99.000","-99.000","-99.000","22.700","","16.500",""
"C0I360","2019-09-10 00:00:00","300.000","74.000","1.200","25.800","0.840","974.300","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","23.100",""
"C0C620","2019-09-10 00:00:00","19.000","51.000","0.500","25.700","0.790","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","22.500",""
"C0G790","2019-09-10 00:00:00","27.000","0.000","0.000","27.300","0.950","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.600",""
